	id	id_midia	id_insight	extract_date	period_extraction	year	day	definicao	value
297	17996237798221062172024525	17996237798221062	17	2024-05-25	5	2024	25	taps_back	0
298	1799623779822106272024525	17996237798221062	7	2024-05-25	5	2024	25	exits	0
299	17996237798221062152024525	17996237798221062	15	2024-05-25	5	2024	25	replies	0
300	1799623779822106262024525	17996237798221062	6	2024-05-25	5	2024	25	engagement	15
301	17996237798221062202024525	17996237798221062	20	2024-05-25	5	2024	25	video_views	0
302	17996237798221062102024525	17996237798221062	10	2024-05-25	5	2024	25	impressions	65
303	17996237798221062142024525	17996237798221062	14	2024-05-25	5	2024	25	reach	58
304	17996237798221062162024525	17996237798221062	16	2024-05-25	5	2024	25	saved	2
305	18014754566080141182024525	18014754566080141	18	2024-05-25	5	2024	25	taps_forward	0
306	18014754566080141172024525	18014754566080141	17	2024-05-25	5	2024	25	taps_back	0
307	1801475456608014172024525	18014754566080141	7	2024-05-25	5	2024	25	exits	0
308	18014754566080141152024525	18014754566080141	15	2024-05-25	5	2024	25	replies	0
309	1801475456608014162024525	18014754566080141	6	2024-05-25	5	2024	25	engagement	22
310	18014754566080141202024525	18014754566080141	20	2024-05-25	5	2024	25	video_views	0
311	18014754566080141102024525	18014754566080141	10	2024-05-25	5	2024	25	impressions	109
312	18014754566080141142024525	18014754566080141	14	2024-05-25	5	2024	25	reach	98
313	18014754566080141162024525	18014754566080141	16	2024-05-25	5	2024	25	saved	0
314	18028826005693449182024525	18028826005693449	18	2024-05-25	5	2024	25	taps_forward	0
315	18028826005693449172024525	18028826005693449	17	2024-05-25	5	2024	25	taps_back	0
316	1802882600569344972024525	18028826005693449	7	2024-05-25	5	2024	25	exits	0
317	18028826005693449152024525	18028826005693449	15	2024-05-25	5	2024	25	replies	0
318	1802882600569344962024525	18028826005693449	6	2024-05-25	5	2024	25	engagement	10
